16:10:04 High Card [A♦, 6♠, 5♠, 2♠] scoring=[A♦](1) | base: 5/1 | pre-joker: 16/1.0 | jokers: [Dusk(+50c), Four Fingers(x11.00)] | final: 66/11.0 | enhs=[WILD] seals=[] eds=[] | blind=Big Blind ante=6 hands_left=2 | est=726 actual=1526 MISMATCH(diff=+800)
16:11:46 Three of a Kind [J♥, J♣, J♦, 6♠, 3♥] scoring=[J♥, J♣, J♦](3) | base: 30/3 | pre-joker: 60/3.0 | jokers: [Bull(+22c)] | final: 82/3.0 | enhs=[] seals=[] eds=[] | blind=Big Blind ante=1 hands_left=3 | est=246 actual=258 MISMATCH(diff=+12)
18:07:14 Pair [J♣, J♦, 7♥, 3♠, 2♦] scoring=[J♣, J♦, 2♦](3) | base: 10/2 | pre-joker: 80/2.0 | jokers: [Midas Mask(x6.00), Ice Cream(+35c), Mystic Summit(x2.25)] | final: 115/27.0 | enhs=[GOLD,STONE] seals=[] eds=[] | blind=Big Blind ante=4 hands_left=2 | est=3105 actual=1809 MISMATCH(diff=-1296)
23:03:24 Straight [7♣, 6♥, 5♦, 4♣, 3♥] scoring=[7♣, 6♥, 5♦, 4♣](4) | base: 30/4 | pre-joker: 62/16.0 | jokers: [Ramen(x2.00)] | final: 62/32.0 | enhs=[] seals=[] eds=[] | blind=The House ante=2 hands_left=5 | est=1984 actual=2080 MISMATCH(diff=+96)
23:16:52 Straight [A♣, 5♥, 4♣, 3♠, 2♦] scoring=[5♥, 4♣, 3♠, 2♦](4) | base: 90/10 | pre-joker: 104/13.0 | jokers: [Runner(+150c), Devious Joker(+100c, x1.77)] | final: 354/23.0 | enhs=[] seals=[] eds=[] | blind=Small Blind ante=6 hands_left=4 | est=8142 actual=9490 MISMATCH(diff=+1348)
23:17:01 Straight [10♥, 9♦, 8♣, 7♦, 6♣] scoring=[10♥, 9♦, 8♣, 7♦](4) | base: 120/13 | pre-joker: 154/16.0 | jokers: [Runner(+165c), Devious Joker(+100c, x1.62)] | final: 419/26.0 | enhs=[] seals=[] eds=[] | blind=Big Blind ante=6 hands_left=5 | est=10894 actual=12325 MISMATCH(diff=+1431)
23:46:09 Pair [K♣, K♦, J♣, 9♥, 6♥] scoring=[K♣, K♦](2) | base: 40/4 | pre-joker: 60/26.0 | jokers: [Ice Cream(+30c), Gros Michel(x1.58)] | final: 90/41.0 | enhs=[] seals=[] eds=[] | blind=The Goad ante=4 hands_left=6 | est=3690 actual=1710 MISMATCH(diff=-1980)
23:46:10 Two Pair [9♣, 9♦, 8♠, 2♣, 2♦] scoring=[9♣, 9♦, 2♣, 2♦](4) | base: 40/3 | pre-joker: 62/25.0 | jokers: [Ice Cream(+25c), Gros Michel(x1.60)] | final: 87/40.0 | enhs=[GOLD] seals=[] eds=[] | blind=The Goad ante=4 hands_left=5 | est=3480 actual=1566 MISMATCH(diff=-1914)
23:46:14 Pair [Q♥, Q♦, 8♦, 6♣, 3♥] scoring=[Q♥, Q♦](2) | base: 40/4 | pre-joker: 60/24.0 | jokers: [Ice Cream(+15c), Gros Michel(x1.62)] | final: 75/39.0 | enhs=[] seals=[] eds=[] | blind=The Goad ante=4 hands_left=3 | est=2925 actual=1425 MISMATCH(diff=-1500)
23:46:15 Two Pair [10♠, 10♣, 6♦, 4♠, 4♥] scoring=[10♠, 10♣, 4♠, 4♥](4) | base: 40/3 | pre-joker: 54/23.0 | jokers: [Ice Cream(+10c), Gros Michel(x1.65)] | final: 64/38.0 | enhs=[] seals=[] eds=[] | blind=The Goad ante=4 hands_left=2 | est=2432 actual=1152 MISMATCH(diff=-1280)
23:46:17 Pair [7♠, 5♥, 5♥, 4♣, 3♦] scoring=[5♥, 5♥](2) | base: 40/4 | pre-joker: 50/24.0 | jokers: [Ice Cream(+5c), Gros Michel(x1.62)] | final: 55/39.0 | enhs=[] seals=[] eds=[] | blind=The Goad ante=4 hands_left=1 | est=2145 actual=1045 MISMATCH(diff=-1100)
23:46:44 Two Pair [Q♠, Q♦, 8♣, 8♦, 3♥] scoring=[Q♠, Q♦, 8♣, 8♦](4) | base: 40/3 | pre-joker: 76/23.0 | jokers: [Gros Michel(x1.65)] | final: 76/38.0 | enhs=[] seals=[] eds=[] | blind=The Pillar ante=4 hands_left=4 | est=2888 actual=1368 MISMATCH(diff=-1520)
